source_id,uniprot_accession,gene_name,protein_name,display_name,preferred_label
ALB,,ALB,,ALB,ALB
ITIH1,,ITIH1,,ITIH1,ITIH1
APOB,,APOB,,APOB,APOB
A2M,,A2M,,A2M,A2M
C7,,C7,,C7,C7
KNG1,,KNG1,,KNG1,KNG1
APOE,,APOE,,APOE,APOE
C3,,C3,,C3,C3
CFI,,CFI,,CFI,CFI
SERPINC1,,SERPINC1,,SERPINC1,SERPINC1
HRG,,HRG,,HRG,HRG
SERPINA3,,SERPINA3,,SERPINA3,SERPINA3
IGKC,,IGKC,,IGKC,IGKC
ITIH4,,ITIH4,,ITIH4,ITIH4
C8G,,C8G,,C8G,C8G
ITIH2,,ITIH2,,ITIH2,ITIH2
CP,,CP,,CP,CP
C9,,C9,,C9,C9
AFM,,AFM,,AFM,AFM
C5,,C5,,C5,C5
AMBP,,AMBP,,AMBP,AMBP
GSN,,GSN,,GSN,GSN
CFH,,CFH,,CFH,CFH
AZGP1,,AZGP1,,AZGP1,AZGP1
CPN2,,CPN2,,CPN2,CPN2
PGLYRP2,,PGLYRP2,,PGLYRP2,PGLYRP2
IGLL5,,IGLL5,,IGLL5,IGLL5
APOA1,,APOA1,,APOA1,APOA1
FGB,,FGB,,FGB,FGB
CFB,,CFB,,CFB,CFB
FGG,,FGG,,FGG,FGG
FBLN1,,FBLN1,,FBLN1,FBLN1
C6,,C6,,C6,C6
GC,,GC,,GC,GC
C8A,,C8A,,C8A,C8A
LRG1,,LRG1,,LRG1,LRG1
C4BPB,,C4BPB,,C4BPB,C4BPB
AGT,,AGT,,AGT,AGT
FGA,,FGA,,FGA,FGA
APOA4,,APOA4,,APOA4,APOA4
SERPINF1,,SERPINF1,,SERPINF1,SERPINF1
APOH,,APOH,,APOH,APOH
PROS1,,PROS1,,PROS1,PROS1
IGKV3-15,,IGKV3-15,,IGKV3-15,IGKV3-15
IGKV3-20,,IGKV3-20,,IGKV3-20,IGKV3-20
CLU,,CLU,,CLU,CLU
LBP,,LBP,,LBP,LBP
PLG,,PLG,,PLG,PLG
CD14,,CD14,,CD14,CD14
A1BG,,A1BG,,A1BG,A1BG
HP,,HP,,HP,HP
C2,,C2,,C2,C2
F5,,F5,,F5,F5
SAA4,,SAA4,,SAA4,SAA4
IGHG2,,IGHG2,,IGHG2,IGHG2
AHSG,,AHSG,,AHSG,AHSG
C8B,,C8B,,C8B,C8B
C4BPA,,C4BPA,,C4BPA,C4BPA
KLKB1,,KLKB1,,KLKB1,KLKB1
C1R,,C1R,,C1R,C1R
F13B,,F13B,,F13B,F13B
IGHG3,,IGHG3,,IGHG3,IGHG3
APOD,,APOD,,APOD,APOD
C1S,,C1S,,C1S,C1S
HPX,,HPX,,HPX,HPX
JCHAIN,,JCHAIN,,JCHAIN,JCHAIN
APOC3,,APOC3,,APOC3,APOC3
IGHA2,,IGHA2,,IGHA2,IGHA2
IGHA1,,IGHA1,,IGHA1,IGHA1
IGHG1,,IGHG1,,IGHG1,IGHG1
SERPING1,,SERPING1,,SERPING1,SERPING1
IGHM,,IGHM,,IGHM,IGHM
F2,,F2,,F2,F2
RBP4,,RBP4,,RBP4,RBP4
C1QB,,C1QB,,C1QB,C1QB
SERPINF2,,SERPINF2,,SERPINF2,SERPINF2
SERPINA1,,SERPINA1,,SERPINA1,SERPINA1
CPB2,,CPB2,,CPB2,CPB2
ITIH3,,ITIH3,,ITIH3,ITIH3
CPN1,,CPN1,,CPN1,CPN1
APOC1,,APOC1,,APOC1,APOC1
HBB,,HBB,,HBB,HBB
SERPINA7,,SERPINA7,,SERPINA7,SERPINA7
ORM2,,ORM2,,ORM2,ORM2
ORM1,,ORM1,,ORM1,ORM1
APOA2,,APOA2,,APOA2,APOA2
APOC2,,APOC2,,APOC2,APOC2
PON1,,PON1,,PON1,PON1
SERPIND1,,SERPIND1,,SERPIND1,SERPIND1
GPX3,,GPX3,,GPX3,GPX3
LUM,,LUM,,LUM,LUM
C1QC,,C1QC,,C1QC,C1QC
HBA1,,HBA1,,HBA1,HBA1
IGKV4-1,,IGKV4-1,,IGKV4-1,IGKV4-1
